Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Goldfish,10.87,7.57,9.55,6.99,3.45,2.74,24.16
Tilapia,26.06,6.8,42.81,4.41,0.39,1.66,48.59
Clownfish,26.21,,0.22,6.16,30.68,0.97,46.29
Goldfish,20.55,8.03,18.24,7.63,0.82,1.89,34.35
Catfish,26.02,7.13,76.36,5.87,3.24,1.11,23.25
Salmon,9.44,7.3,2.61,11.74,29.13,1.0,42.35
Clownfish,26.32,7.81,1.44,6.78,28.29,0.03,29.66
Clownfish,24.13,8.12,2.55,6.81,34.0,2.3,10.08
,12.88,7.55,16.16,6.27,7.19,2.56,32.31
Catfish,21.77,6.63,13.05,5.46,3.05,,30.71
Clownfish,27.63,7.99,1.76,5.18,31.86,0.92,12.21
,26.45,6.37,39.21,5.55,2.84,0.98,22.96
Tilapia,27.35,7.0,22.53,6.26,4.42,2.01,42.25
Trout,11.3,7.17,0.02,9.45,3.21,,19.1
Bass,17.35,6.87,31.13,5.2,8.7,0.53,32.99
Bass,18.66,7.13,29.65,8.12,,2.92,29.93
Catfish,26.96,,77.77,4.26,1.89,0.38,13.34
Catfish,20.98,7.45,42.03,6.89,2.07,0.4,14.22
Tilapia,23.64,7.71,10.12,5.4,3.78,0.31,30.38
Eel,11.32,7.45,26.51,6.74,13.87,0.58,18.16
Goldfish,15.49,7.73,8.86,5.25,2.92,2.52,16.02
Clownfish,27.7,8.25,1.5,6.32,34.19,0.26,
Eel,13.09,7.34,22.39,5.16,8.06,0.38,47.42
Bass,23.85,7.31,48.05,9.85,0.96,0.84,
Catfish,24.45,7.67,30.87,4.18,,0.59,32.98
Eel,18.29,7.58,19.96,,27.0,1.38,4.52
Goldfish,10.64,7.99,19.86,7.46,3.32,2.78,2.95
,26.41,7.24,45.14,5.33,0.41,2.3,19.64
Clownfish,26.34,7.92,4.69,7.81,29.92,1.67,43.86
Trout,11.45,6.86,2.98,8.82,4.29,1.33,6.5
Tilapia,27.59,6.51,43.8,,3.22,1.02,20.4
Eel,10.95,7.95,,4.88,16.44,0.7,38.84
Tilapia,24.98,7.6,14.61,6.6,4.33,0.86,35.95
Salmon,14.11,6.64,5.56,9.04,14.46,1.57,34.22
Catfish,25.83,7.78,83.48,4.32,3.97,1.35,27.48
Eel,17.29,7.76,12.99,3.04,29.22,0.25,24.71
Clownfish,25.31,8.34,1.46,6.82,28.73,2.89,13.41
Bass,,6.75,48.26,7.32,9.77,2.72,7.83
Trout,17.16,6.87,9.09,7.76,4.54,2.51,40.79
Bass,21.19,6.01,39.17,6.8,4.39,2.99,29.62
Catfish,24.86,7.62,51.61,4.68,3.27,2.26,1.53
Goldfish,13.59,7.78,8.16,7.92,3.49,1.93,5.23
Salmon,14.31,7.02,4.07,11.47,25.18,0.54,
Eel,14.05,6.62,16.07,7.71,17.91,0.9,11.85
Eel,11.96,6.94,20.67,7.94,20.39,1.51,37.68
Salmon,13.19,6.77,6.4,,19.66,0.06,38.59
Clownfish,26.5,7.97,0.66,6.34,34.73,1.57,45.95
Clownfish,,7.84,2.49,5.85,33.64,2.66,34.29
Bass,22.52,6.07,13.3,5.17,0.59,1.19,23.34
Clownfish,27.25,8.16,0.68,5.57,29.71,1.79,9.24
Trout,11.11,6.63,5.27,11.9,3.22,0.33,1.74
Eel,11.81,7.72,15.98,5.14,18.72,0.24,44.84
Eel,14.53,7.56,,7.97,20.9,2.89,24.06
Clownfish,27.4,8.22,2.78,6.54,30.1,0.77,42.04
Clownfish,25.75,8.01,4.39,6.0,33.83,0.92,12.65
Trout,12.55,7.12,0.82,9.7,3.36,1.43,38.71
Tilapia,26.91,7.02,14.39,7.06,4.29,2.59,25.61
Eel,10.29,7.23,24.52,7.35,11.3,1.29,49.42
Catfish,20.96,6.7,,3.06,2.73,1.06,28.44
Bass,20.93,6.09,,8.94,3.78,2.66,34.91
Trout,11.83,7.32,4.21,11.85,1.77,1.76,37.09
Clownfish,,,2.82,,29.61,0.07,
Eel,18.17,6.45,19.71,4.02,9.12,0.29,27.56
Catfish,22.45,7.35,27.2,6.15,1.14,,1.2
Catfish,20.46,7.95,55.33,5.68,3.66,1.66,17.16
Goldfish,17.66,8.4,19.4,6.61,2.2,1.4,41.32
Catfish,26.76,,34.21,6.06,3.0,2.25,
Goldfish,39.9089061139034,8.3,19.26,7.5,,1.02,1.77
Catfish,25.41,7.14,66.98,4.18,,0.99,28.93
Trout,15.06,7.13,2.46,8.2,3.62,0.65,8.01
Goldfish,20.32,7.42,12.15,5.33,2.42,1.67,26.91
Clownfish,25.44,8.36,0.69,7.45,30.03,2.4,26.83
Catfish,20.08,,41.5,6.99,4.51,2.51,30.07
Eel,16.25,7.78,10.1,4.51,20.17,1.44,31.33
Trout,12.73,6.99,1.81,10.95,1.8,,38.35
Goldfish,,8.16,13.15,7.36,4.81,0.56,19.7
Eel,22.83,6.89,15.48,7.16,7.77,0.26,23.02
Clownfish,25.18,8.14,1.44,6.22,33.57,2.15,12.92
Eel,8.06,7.47,13.38,,16.74,0.22,41.8
,17.24,,,11.0,1.58,1.93,8.86
Bass,18.96,6.19,44.95,4.94,2.1,1.69,38.2
Clownfish,26.88,8.19,0.07,5.43,33.02,1.36,16.86
Clownfish,25.24,8.29,1.37,7.68,28.47,2.65,39.39
Trout,,7.28,9.91,11.64,1.1,0.81,29.08
Bass,15.19,6.11,35.44,5.31,9.46,0.36,16.81
Goldfish,22.49,7.66,196.23053404479336,5.33,2.88,2.9,6.96
Goldfish,21.8,8.4,19.86,7.08,3.94,2.59,48.1
Clownfish,25.4,7.96,2.2,5.18,29.38,1.46,44.24
Eel,6.04,7.79,21.43,4.14,8.3,0.72,46.98
Trout,14.85,7.33,0.61,8.89,3.0,0.51,5.71
Bass,17.3,,10.84,4.49,4.61,1.88,33.02
Bass,24.61,6.28,39.33,5.51,8.62,2.44,25.54
Tilapia,27.35,6.67,,7.23,1.66,0.45,12.46
Clownfish,27.82,8.1,1.87,6.21,30.15,2.31,9.2
,28.38,7.79,31.32,7.2,2.76,2.2,3.81
Bass,22.12,6.76,45.21,6.43,1.27,2.18,3.01
Bass,24.9,7.38,43.48,6.86,1.04,2.39,26.3
Clownfish,25.69,7.92,4.73,7.35,33.45,1.86,12.86
Salmon,8.92,7.1,2.32,10.96,13.49,2.21,17.9
Catfish,,7.45,65.42,4.27,3.23,0.1,10.91
Trout,14.43,6.67,7.31,9.17,0.15,0.35,13.77
Eel,24.81,6.66,26.11,5.93,17.54,2.24,37.23
Tilapia,,6.79,32.64,6.85,4.65,2.27,45.58
,12.69,6.95,2.89,10.77,,2.63,
Eel,6.91,11.66569370593908,17.62,3.61,22.01,1.39,4.07
Clownfish,24.32,7.84,2.44,6.46,30.86,2.1,10.74
Salmon,9.15,6.9,5.4,8.01,13.98,1.36,1.52
,,6.81,4.68,9.84,20.25,1.48,29.23
Bass,20.75,6.97,18.24,9.81,8.86,2.3,41.06
Salmon,12.88,7.3,9.54,8.5,13.27,1.47,28.87
Eel,9.67,6.49,21.97,4.84,11.86,0.17,8.2
Bass,15.19,6.87,12.46,8.68,9.04,0.45,34.63
,10.92,6.81,5.77,,14.96,0.83,26.34
Eel,22.02,6.21,21.6,5.12,22.56,0.93,
Goldfish,24.19,7.89,10.73,7.84,4.95,2.38,11.48
Catfish,22.31,7.77,17.05,5.71,1.19,0.95,30.69
Bass,23.64,,28.61,9.41,7.28,0.81,25.83
Eel,18.28,6.61,12.12,3.97,13.09,1.2,34.87
Bass,19.45,6.72,12.7,6.51,5.95,2.33,42.72
Goldfish,15.44,7.83,7.45,5.77,4.95,1.38,10.56
Trout,41.7906500877278,7.0,,8.77,,2.55,0.78
Eel,8.79,6.26,24.16,4.45,19.27,2.71,15.15
Goldfish,13.92,7.8,13.05,6.61,0.54,0.72,18.85
Eel,15.06,7.12,29.48,6.1,6.01,2.42,38.06
Trout,14.79,7.27,5.45,,1.88,2.48,26.87
Tilapia,29.85,7.42,41.39,4.35,1.64,1.1,25.64
Trout,16.13,7.46,1.15,7.76,2.57,0.32,41.18
,15.36,,9.27,9.72,4.25,2.44,29.9
Eel,8.34,6.74,26.59,4.48,18.07,1.3,36.94
Catfish,20.9,7.62,307.8668706041577,4.75,4.78,2.19,43.6
Tilapia,28.84,7.15,30.48,4.57,1.45,,34.24
Goldfish,,7.97,15.69,6.33,0.94,2.5,25.85
Eel,9.06,7.53,11.86,3.71,19.3,0.59,17.05
Catfish,27.49,7.63,38.24,4.64,2.32,1.04,22.92
Clownfish,27.8,7.93,4.7,7.52,30.35,2.68,26.29
Clownfish,25.32,7.91,,5.53,30.91,0.32,21.61
Catfish,,6.17,77.25,3.06,4.04,2.3,26.16
Goldfish,24.85,8.09,15.9,7.56,0.5,2.72,
Clownfish,26.37,7.93,0.46,5.44,29.59,0.28,45.21
Tilapia,24.92,7.49,13.86,6.47,4.55,1.6,15.2
Trout,14.74,7.32,9.09,9.34,1.34,0.11,39.51
Bass,21.69,6.14,23.7,8.0,6.85,1.93,17.06
Eel,17.49,7.01,14.21,7.09,26.44,2.75,30.93
Bass,17.66,6.95,41.31,,,0.87,27.11
Tilapia,24.33,7.17,48.15,7.77,0.84,0.02,6.82
Trout,14.48,6.54,3.76,,2.48,0.19,25.5
Eel,38.78410545749502,7.1,27.42,5.23,21.8,0.92,0.45
Goldfish,15.07,8.29,12.1,6.26,3.13,0.53,
Clownfish,25.15,8.4,2.04,6.92,30.99,2.68,4.36
Goldfish,11.37,7.47,14.27,6.52,2.34,0.37,49.5
Bass,15.74,7.04,13.37,7.46,2.37,0.83,24.13
Goldfish,10.98,7.48,8.1,,4.21,2.56,25.57
Eel,16.19,7.0,26.8,3.86,-3.843615959671725,0.52,37.54
Trout,11.82,7.41,7.54,9.78,23.784387347753885,1.49,49.34
Clownfish,25.15,,1.74,5.27,32.48,1.94,10.85
Catfish,22.79,6.74,51.79,3.64,0.91,0.64,32.68
Tilapia,22.26,7.79,41.89,7.48,0.81,2.09,47.43
Trout,12.77,7.2,,9.67,0.88,2.82,46.09
Catfish,24.32,6.64,64.78,5.7,0.78,1.55,14.06
Trout,11.2,7.15,1.57,7.0,1.0,1.4,37.37
Bass,,7.43,7.49,4.72,6.8,1.54,20.49
Tilapia,23.12,6.79,48.36,6.45,0.28,2.0,7.8
Catfish,25.3,6.6,88.11,4.81,2.63,2.89,32.52
Goldfish,19.12,8.4,8.52,6.17,3.73,2.16,0.72
,21.94,7.26,8.08,4.84,3.01,1.95,13.34
Goldfish,19.8,7.04,8.87,6.82,1.62,2.38,28.07
Salmon,11.92,7.18,3.42,9.73,15.48,,24.75
Bass,18.0,6.01,11.68,7.51,1.97,2.41,39.11
Trout,13.33,7.42,2.87,11.48,0.47,1.09,5.87
Bass,16.56,6.03,38.32,6.0,5.78,0.64,42.62
Goldfish,18.43,7.9,6.61,5.96,1.12,2.4,28.09
Clownfish,25.68,7.93,4.1,5.13,30.82,2.49,0.95
Trout,16.82,6.63,7.78,10.88,3.52,2.32,35.94
Tilapia,24.22,7.83,47.9,5.27,1.97,,10.52
Trout,19.349610249623172,,6.4,11.65,1.19,1.27,41.67
Clownfish,25.31,8.25,4.57,5.86,34.46,2.89,1.84
Salmon,8.39,7.22,1.33,10.52,32.46,2.23,10.76
Catfish,26.44,6.28,17.3,5.94,3.97,1.49,17.75
Clownfish,26.99,8.15,,7.88,29.09,2.42,44.0
,12.69,7.0,3.54,7.5,15.1,0.88,28.04
Bass,21.31,6.0,10.96,6.51,6.55,0.44,13.0
Tilapia,23.33,7.29,,5.85,1.31,2.24,25.92
Tilapia,25.32,7.4,14.18,4.4,0.91,1.02,24.79
,26.76,7.39,22.16,4.98,1.48,1.01,16.37
Eel,23.06,6.19,12.41,7.93,28.31,2.55,9.66
Eel,22.59,7.55,23.57,3.34,19.4,1.08,49.84
Tilapia,23.18,6.85,26.63,5.66,3.7,2.61,24.34
Eel,19.55,6.44,16.4,4.53,7.08,2.01,21.59
Tilapia,27.81,7.22,25.5,6.09,0.82,1.34,8.55
Salmon,8.17,6.51,6.69,11.17,32.93,1.82,9.63
Tilapia,25.68,6.52,38.9,7.17,2.01,2.95,37.02
Goldfish,15.58,7.11,19.12,6.4,0.84,2.79,8.1
Tilapia,24.19,,18.74,7.57,,1.58,21.08
Trout,15.41,,3.9,10.75,0.87,1.05,2.74
Catfish,22.89,7.71,64.08,5.87,4.47,0.21,8.53
Goldfish,22.92,7.96,17.31,7.75,1.21,2.4,30.95
Trout,16.07,,1.79,8.12,4.46,1.19,9.87
Tilapia,27.29,7.8,31.43,7.46,2.93,1.06,32.0
Bass,20.28,7.14,26.44,9.4,0.43,0.37,42.92
Salmon,10.66,6.56,,7.28,23.95,0.26,22.24
Eel,15.16,7.62,12.61,5.07,17.2,2.7,36.0
Goldfish,23.59,7.8,9.79,5.02,0.1,2.85,46.6
,22.3,6.88,45.8,4.04,7.93,1.93,28.76
Tilapia,25.67,,36.56,7.61,1.94,2.01,22.8
Bass,21.21,7.46,25.8,5.7,2.78,1.14,32.55
Goldfish,24.15,7.07,15.2,,3.59,2.16,36.79
Tilapia,,7.02,25.44,7.46,0.9,2.42,13.61
Bass,23.16,6.54,16.49,6.36,8.93,2.32,39.01
Salmon,12.66,7.27,9.91,10.81,16.89,0.41,27.86
Clownfish,25.95,8.05,0.93,6.18,34.07,2.59,38.2
Clownfish,24.31,8.16,3.17,5.1,31.45,1.7,26.76
Catfish,20.47,6.99,418.518417551563,4.94,4.63,2.95,34.83
Trout,14.12,7.18,1.06,9.39,3.56,0.59,3.25
Goldfish,20.24,7.01,11.26,7.25,2.29,1.53,47.39
Bass,17.81,7.05,28.74,7.49,3.58,1.67,15.59
Tilapia,28.37,7.68,19.02,4.74,2.85,0.72,1.16
Clownfish,27.87,7.85,4.85,5.3,29.64,1.34,5.11
Trout,10.4,7.03,4.75,8.2,3.97,1.2,3.01
Trout,13.54,6.55,9.01,7.17,2.8,1.75,
Bass,24.3,7.42,44.77,7.91,4.87,0.82,30.9
Goldfish,11.84,8.08,19.7,7.82,,2.51,22.54
Trout,13.09,6.85,2.47,11.21,4.07,2.89,25.56
Tilapia,29.6,7.56,26.48,5.04,2.94,0.16,33.28
Trout,14.93,6.96,7.33,7.25,1.31,1.73,
Catfish,27.49,7.75,82.6,5.75,1.52,0.37,23.14
Goldfish,10.74,,11.87,5.94,4.46,1.91,5.55
Catfish,26.61,7.91,74.5,3.63,3.08,2.9,24.2
Catfish,24.7,7.91,53.38,3.94,2.02,,27.98
Trout,16.01,7.05,1.41,10.99,4.46,0.82,
Tilapia,23.39,7.99,42.76,4.81,0.23,2.56,31.79
Bass,15.34,6.99,24.83,8.63,8.95,1.02,21.33
Catfish,27.31,7.01,65.31,3.84,4.13,0.65,33.62
Trout,16.34,7.0,1.02,10.94,1.58,1.17,17.67
Bass,17.56,6.96,24.44,9.93,1.53,1.18,20.08
Salmon,10.5,7.05,0.44,7.27,26.17,2.58,22.33
Goldfish,16.6,7.31,18.94,5.12,4.91,2.89,32.68
Goldfish,14.37,7.94,19.82,6.26,2.56,2.89,34.35
Salmon,8.37,6.93,1.13,6.94,27.66,0.27,7.87
Bass,22.35,6.9,295.68986490337977,6.56,4.84,2.92,28.46
Clownfish,27.15,7.89,4.19,5.41,33.48,0.08,32.0
Salmon,14.26,7.1,3.6,9.68,14.68,1.76,12.73
Salmon,11.79,7.43,2.56,7.59,31.98,2.25,16.06
Catfish,22.51,7.28,75.6,3.87,3.97,1.02,36.59
Catfish,22.27,6.38,44.52,5.13,3.16,1.52,31.21
Catfish,20.02,6.04,85.31,6.17,1.75,1.6,
Clownfish,26.14,7.89,2.44,6.61,33.87,1.9,7.19
Clownfish,26.01,8.05,3.91,6.71,32.18,1.46,26.35
Eel,,7.43,,5.45,5.92,2.03,20.55
Catfish,25.16,7.72,80.11,3.97,2.63,0.32,4.21
Salmon,11.4,6.7,8.13,8.81,29.64,2.35,22.25
Clownfish,24.02,8.28,2.64,6.76,33.06,1.04,4.26
Trout,11.49,6.8,1.78,11.91,3.78,1.69,44.39
Salmon,8.49,6.87,,7.41,25.99,1.21,32.78
Catfish,26.15,7.09,81.86,6.39,1.97,,32.29
Tilapia,24.82,7.27,49.62,5.68,0.72,0.3,14.21
Bass,16.71,6.32,5.05,4.77,0.82,0.68,13.24
Goldfish,12.63,7.42,18.87,7.08,4.97,2.9,3.63
Catfish,27.53,6.18,92.78,,0.19,2.27,26.46
Tilapia,26.43,7.93,48.37,4.12,0.25,0.91,1.67
Trout,10.34,7.4,6.13,8.32,4.75,0.68,25.07
Catfish,26.76,6.92,10.47,5.09,2.48,0.46,30.17
Trout,17.18,7.12,9.4,10.63,0.68,0.87,9.66
Eel,19.8,6.39,16.38,4.85,19.04,0.41,45.38
Tilapia,25.08,7.63,47.96,6.98,3.4,1.93,5.11
Goldfish,23.06,8.37,10.7,5.54,1.22,0.89,2.88
Eel,13.29,6.14,19.47,7.37,26.52,,17.99
Goldfish,,7.84,17.52,5.98,4.56,0.24,0.12
Bass,16.84,7.11,21.83,9.92,6.17,2.64,44.61
Salmon,11.49,7.03,3.8,10.93,10.84,2.19,26.21
Eel,23.21,7.29,16.74,4.98,11.05,0.35,18.8
Clownfish,25.8,7.98,3.28,6.63,29.64,2.99,2.41
Tilapia,29.93,7.7,22.39,4.91,,0.37,38.1
Bass,21.19,6.98,15.13,5.89,9.49,0.57,28.23
Tilapia,29.46,7.04,45.61,6.58,2.83,1.33,
Trout,10.57,7.09,7.21,10.94,3.49,2.41,47.39
Salmon,8.75,7.11,9.28,10.04,11.32,2.63,26.17
Clownfish,25.63,7.84,1.8,6.75,33.48,2.47,6.83
Trout,15.45,6.66,1.63,6.998110349720147,0.43,2.17,29.07
Clownfish,24.71,7.86,0.04,5.19,28.43,0.94,27.86
Goldfish,23.63,7.97,6.09,7.37,2.79,2.78,33.46
Salmon,8.13,,2.34,10.09,30.86,2.51,1.81
,24.95,7.92,1.9,5.73,32.86,2.53,24.67
Salmon,8.42,6.58,7.46,8.38,10.05,0.9,27.11
Catfish,22.63,6.24,62.69,5.26,1.84,0.4,43.1
Clownfish,24.49,8.02,0.18,7.48,29.04,0.76,7.65
Eel,12.58,6.05,28.15,5.02,,1.69,30.54
,,6.56,26.13,,1.48,0.52,17.19
Salmon,12.95,7.22,7.49,11.84,20.18,0.75,
Tilapia,29.29,6.76,32.05,7.78,4.54,2.03,28.59
Goldfish,10.18,7.18,8.16,6.88,2.87,1.45,1.9
Bass,24.43,6.35,201.06452584590323,5.15,1.77,2.76,6.06
Eel,21.21,6.06,29.16,,,0.28,27.96
Salmon,10.77,7.1,5.11,9.66,19.34,1.53,42.55
Trout,14.65,6.88,3.92,7.03,3.79,1.38,23.56
Trout,16.37,6.71,0.07,8.29,1.64,2.53,18.32
,27.11,8.32,1.27,7.87,33.83,1.96,32.85
Tilapia,29.81,,16.91,5.37,4.87,0.67,3.91
Catfish,20.78,,72.14,3.82,1.77,2.78,5.17
Trout,17.92,7.4,6.5,10.78,3.41,,7.05
Goldfish,18.91,7.71,14.63,7.8,4.49,1.4,9.26
Goldfish,14.01,8.35,,7.89,2.41,2.59,17.97
Bass,22.72,6.55,234.28060239586,9.15,2.29,0.2,8.73
Bass,20.18,6.13,26.86,6.57,,0.91,22.08
Eel,24.55,6.55,28.07,4.43,22.51,1.88,18.08
Clownfish,25.57,8.35,2.78,6.83,32.62,2.6,42.09
Salmon,12.51,6.59,7.87,11.52,33.08,0.2,41.62
Catfish,25.18,7.96,64.57,4.85,4.49,0.18,16.61
Tilapia,26.94,7.54,27.73,7.7,3.85,0.61,2.04
Trout,13.95,6.51,4.99,10.49,0.87,2.1,35.44
Trout,10.2,6.58,6.82,8.64,1.25,2.76,10.74
Goldfish,10.07,7.02,15.89,7.68,3.97,2.64,24.24
Catfish,21.69,,51.22,3.77,,2.61,14.8
Trout,16.04,7.44,5.54,8.56,0.93,2.91,33.81
Goldfish,19.83,7.48,18.83,7.86,1.52,,26.17
Tilapia,25.6,6.64,25.73,5.39,4.48,1.25,28.3
Clownfish,27.8,7.86,3.19,5.84,34.2,2.69,23.43
Clownfish,25.83,7.92,4.85,7.7,32.39,1.71,24.07
Goldfish,16.8,7.03,15.97,5.81,3.49,0.17,46.48
Goldfish,23.37,7.83,,6.02,2.29,1.26,0.87
Eel,9.07,6.49,13.8,6.73,,0.87,1.27
Catfish,22.42,7.74,90.73,3.55,3.02,1.81,
Tilapia,24.5,,36.97,7.89,1.4,1.85,44.54
Bass,18.46,6.27,38.53,6.2,5.09,2.51,43.7
Clownfish,24.18,8.27,0.89,7.21,28.77,0.09,14.92
Bass,24.62,6.66,20.12,6.52,9.1,1.26,33.1
Bass,22.97,7.05,18.81,6.43,4.32,,
Bass,20.68,7.03,24.79,6.48,9.09,2.19,
Goldfish,10.43,7.95,6.17,5.17,4.51,0.56,2.55
,5.35,6.3,28.11,6.33,8.83,0.63,34.86
Catfish,22.73,6.31,36.82,5.11,0.51,1.91,42.86
Clownfish,26.1,7.91,4.93,6.73,29.65,2.22,3.14
Catfish,26.78,7.66,88.75,6.72,4.62,2.24,13.08
Bass,15.63,7.31,25.32,8.38,5.12,2.41,32.57
Trout,11.88,6.74,4.17,11.97,2.75,0.52,25.28
Eel,23.11,7.54,16.47,4.98,22.43,,12.2
Tilapia,23.47,7.92,39.85,5.17,1.51,0.64,11.91
Catfish,21.5,,97.03,3.49,,2.22,19.24
Eel,9.99,6.78,26.67,6.56,19.7,0.42,10.68
Catfish,24.94,6.43,56.76,3.95,0.76,0.7,41.49
Eel,10.13,,28.7,,24.28,2.58,46.99
Catfish,22.45,6.58,98.77,3.44,4.28,2.79,11.25
Goldfish,16.51,7.72,5.05,5.1,2.9,1.0,18.61
Clownfish,26.32,7.94,1.25,2.103227606549087,28.37,0.47,
,14.71,7.28,19.48,7.48,4.44,2.1,21.86
Trout,13.26,7.37,7.0,9.36,2.49,2.27,45.09
Goldfish,12.55,7.09,15.87,7.59,2.87,2.03,41.06
Tilapia,24.17,7.61,39.02,,0.49,2.08,11.48
Bass,17.89,6.36,36.37,5.85,5.64,0.74,31.34
Trout,,7.12,2.83,7.64,3.94,1.12,4.51
Salmon,12.22,7.42,2.04,7.64,14.06,1.02,14.65
Salmon,9.56,6.97,6.9,9.47,27.26,2.27,9.97
Catfish,27.49,6.83,67.88,4.33,3.53,1.65,1.59
Tilapia,28.75,7.2,21.15,7.68,0.39,0.97,3.33
Clownfish,24.63,8.11,4.44,7.83,33.72,0.48,18.99
Trout,15.89,6.98,6.71,10.55,1.52,2.04,2.29
Clownfish,,8.33,2.97,6.47,28.31,0.05,20.37
Bass,20.94,6.87,14.34,7.11,2.31,2.15,35.5
,24.91,8.37,3.59,7.53,29.78,1.63,27.44
Tilapia,23.79,7.37,21.4,7.03,2.98,1.74,11.72
Tilapia,28.86,6.55,31.32,5.61,1.12,1.31,28.42
Clownfish,25.49,7.86,0.65,5.37,30.96,0.55,9.15
Salmon,13.36,6.66,8.49,7.97,29.55,2.0,37.74
,26.32,7.9,1.23,5.4,34.72,,25.63
Catfish,23.92,6.79,52.44,5.8,1.93,1.06,18.74
Catfish,22.5,6.24,92.78,3.37,2.02,2.7,8.46
Trout,10.38,6.59,6.46,10.28,1.51,1.02,1.24
Tilapia,23.91,7.94,21.5,,1.67,1.92,15.11
Clownfish,26.52,8.09,2.59,7.67,34.85,0.94,41.94
Goldfish,24.02,7.06,19.77,5.75,4.14,1.78,11.77
Salmon,13.47,6.97,5.43,,21.56,1.96,39.47
Catfish,22.9,6.56,68.21,4.28,2.98,2.03,1.31
Salmon,9.09,6.77,0.22,7.15,13.11,0.93,32.54
Tilapia,22.32,6.58,48.29,4.43,4.15,0.88,41.19
Salmon,12.26,7.01,4.01,6.29,28.83,2.69,10.33
Tilapia,28.77,6.96,17.3,6.78,0.77,1.26,3.39
,13.15,7.06,9.62,11.15,4.62,1.05,16.44
Trout,12.82,7.07,5.45,7.75,,2.48,42.14
Salmon,9.71,7.26,7.03,8.73,16.52,1.86,36.8
Eel,6.26,7.75,24.93,7.98,12.28,2.09,46.61
Catfish,26.99,7.64,14.0,3.51,3.06,2.3,49.98
Catfish,20.18,7.48,59.75,3.62,3.59,2.62,45.09
Goldfish,,8.37,13.86,6.54,1.5,2.14,
Tilapia,24.7,7.09,35.59,8.0,20.915379804309158,2.85,15.16
Eel,6.72,6.48,21.73,4.81,11.41,2.73,10.82
Trout,10.17,7.21,9.93,7.52,0.36,2.56,29.89
Eel,13.35,6.06,15.83,5.08,28.8,,4.34
,20.05,7.05,26.36,7.72,6.58,0.01,36.3
Tilapia,29.4,,17.73,,3.29,,48.59
Trout,14.46,7.23,9.68,8.47,0.5,2.85,3.6
Catfish,25.44,7.22,54.86,6.89,1.99,1.46,33.68
Bass,23.1,6.7,39.96,5.01,4.51,2.55,13.4
,9.63,7.26,9.59,7.17,30.46,2.77,
Tilapia,25.44,7.59,23.21,5.93,3.67,0.63,47.68
Bass,24.05,7.44,47.8,8.06,4.86,0.51,23.91
Salmon,10.88,6.53,0.47,9.53,,2.72,9.55
Salmon,8.78,7.46,7.78,9.56,24.8,2.63,8.14
Clownfish,24.77,8.34,3.6,6.12,32.55,1.9,22.7
Catfish,22.45,7.8,83.09,3.56,1.15,0.33,34.73
Clownfish,25.6,8.09,3.66,6.56,34.11,1.17,10.2
Eel,15.14,6.44,25.88,6.06,11.6,2.15,1.8
Bass,22.36,7.42,38.8,6.7,5.48,1.99,6.73
Clownfish,25.93,8.02,3.35,7.36,32.02,2.95,48.23
Eel,15.09,6.57,16.08,,12.26,2.72,21.21
Catfish,24.15,6.08,31.45,3.69,3.6,2.89,14.33
Goldfish,14.74,,7.99,7.0,1.12,2.71,20.32
Eel,10.23,7.66,26.06,7.58,27.14,1.48,
Trout,15.84,7.12,4.78,7.61,3.45,0.09,38.85
Eel,8.41,6.99,20.65,5.46,13.45,0.26,1.86
Bass,24.89,6.18,5.98,5.04,4.51,2.26,7.51
Tilapia,22.99,7.85,19.66,6.57,2.36,0.48,40.99
Salmon,,,9.18,8.35,10.52,2.55,11.63
Goldfish,16.98,7.88,14.55,7.38,2.02,0.7,32.86
Bass,21.48,6.36,,6.88,9.36,2.03,35.77
,23.93,6.52,8.07,5.22,7.47,2.71,16.62
Tilapia,24.23,7.71,31.05,6.64,0.9,0.04,20.58
Tilapia,23.98,7.79,49.09,7.06,0.78,2.73,21.93
Tilapia,23.28,7.21,37.78,5.05,3.42,2.45,28.98
Bass,23.67,6.45,40.53,7.77,,1.18,29.3
Eel,18.74,7.82,,6.89,,1.09,11.94
Salmon,13.59,7.12,2.09,11.23,10.82,1.92,15.62
Eel,18.31,6.17,22.77,7.51,5.32,2.31,35.52
Catfish,20.94,6.44,34.56,4.08,0.13,1.15,33.41
Goldfish,22.84,8.31,18.67,7.62,3.89,0.9,13.27
Salmon,,7.37,3.09,11.04,30.28,1.52,12.57
Trout,14.81,7.21,8.99,11.36,1.51,2.17,14.92
Bass,16.0,6.77,11.94,9.02,6.79,1.93,36.86
Goldfish,11.49,7.27,19.73,6.44,4.75,1.46,27.0
Bass,19.99,6.31,38.88,7.77,2.29,1.28,18.88
Goldfish,21.1,7.94,11.97,7.7,4.99,0.21,18.6
Catfish,27.67,7.62,14.69,,2.44,1.2,7.61
Catfish,21.24,6.65,55.27,3.05,4.85,2.33,20.78
Catfish,27.71,6.93,48.53,6.57,0.52,1.29,25.18
Trout,15.79,6.83,3.87,9.79,4.96,2.56,29.46
Tilapia,27.61,7.78,26.08,5.59,0.98,0.34,
Bass,17.13,6.05,6.88,8.35,14.09455539261901,1.36,29.21
Tilapia,24.06,7.71,23.05,4.92,4.1,2.37,49.9
