Fish Type,Temperature (°C),Turbidity (NTU),pH Level,Ammonia (mg/L),Nitrates (mg/L),Dissolved Oxygen (mg/L)
Catfish,27.41,8.54,7.6,0.161,57.97,4.79
Goldfish,11.54,3.64,7.55,0.434,21.16,7.77
Catfish,21.1,7.25,6.25,0.049,33.16,4.04
Catfish,24.38,5.06,7.77,0.586,22.54,5.67
Catfish,23.17,5.06,6.32,0.948,44.66,6.66
Goldfish,18.39,2.02,7.88,0.342,22.17,6.75
Trout,4.23,1.58,6.76,0.125,13.18,7.62
Bass,15.49,5.7,7.05,,19.24,5.99
Salmon,4.03,0.64,6.71,,11.7,8.5
Tilapia,26.92,3.92,8.36,0.34,25.58,7.08
Bass,21.34,1.07,6.89,0.232,36.71,5.81
Tilapia,26.78,2.39,7.53,0.125,26.11,5.69
Tilapia,27.61,2.15,7.43,0.311,24.48,5.89
Bass,24.03,2.56,6.39,0.279,32.4,6.65
Trout,7.09,0.1,7.58,0.136,3.55,9.72
Trout,8.63,0.31,7.83,0.057,16.83,7.87
Goldfish,19.64,2.61,7.88,0.425,3.08,6.2
Trout,14.45,0.04,7.75,0.006,8.13,7.47
Salmon,14.56,1.22,6.53,0.117,17.88,11.9
Salmon,15.18,0.57,6.88,0.072,24.42,10.76
Bass,26.74,1.07,8.33,0.185,48.27,5.42
Goldfish,16.55,3.23,7.76,0.088,9.52,6.06
Goldfish,16.88,2.56,7.68,0.394,34.36,8.37
Goldfish,20.72,3.27,7.13,0.261,5.82,5.2
Tilapia,23.5,4.81,7.95,0.5,40.3,4.84
Trout,8.36,2.51,7.02,0.103,6.94,
Catfish,20.52,8.14,7.91,0.095,15.55,4.34
Catfish,23.34,5.14,7.04,0.728,12.81,3.18
Goldfish,19.35,1.55,7.47,0.355,15.18,5.42
Salmon,15.67,1.49,7.72,0.04,4.35,11.31
Tilapia,29.25,4.54,8.08,0.151,10.23,
Tilapia,22.19,4.17,8.39,0.473,26.35,5.77
Goldfish,18.84,2.24,7.61,0.475,16.09,8.83
Salmon,10.48,0.87,6.83,0.098,26.36,7.06
Bass,16.83,2.54,7.31,0.189,48.17,7.24
Goldfish,20.01,2.56,6.8,0.038,,6.0
Tilapia,25.57,3.92,6.67,0.047,34.75,
Salmon,11.63,1.34,7.24,0.178,16.5,7.27
Salmon,14.06,0.12,6.87,,14.7,11.36
Trout,9.45,0.16,6.81,0.093,18.05,10.55
Bass,18.12,5.67,,0.033,19.0,4.04
Tilapia,22.94,4.53,7.21,0.413,4.23,6.22
Bass,25.28,5.16,7.53,0.27,45.41,5.18
Goldfish,15.0,1.68,7.81,0.237,25.08,5.78
Trout,17.86,1.61,7.88,0.146,19.1,7.16
Trout,14.31,1.61,7.38,0.156,6.36,7.84
Tilapia,22.89,1.42,7.49,0.381,35.67,7.68
Goldfish,19.56,2.99,7.82,0.378,31.52,5.89
Tilapia,28.28,2.9,7.77,0.323,14.68,6.41
Tilapia,28.49,3.06,8.41,0.409,25.29,7.11
Salmon,11.28,1.92,6.89,0.157,27.76,11.38
Trout,14.69,2.66,7.26,0.001,17.53,7.32
Salmon,11.74,1.76,7.59,0.065,27.47,11.07
Tilapia,25.67,1.71,7.23,0.242,24.89,6.01
Catfish,,3.71,6.12,0.381,55.15,6.11
Catfish,20.94,8.47,7.93,0.719,23.05,4.78
Trout,8.21,2.03,7.2,0.083,17.27,9.78
Trout,10.34,0.12,7.35,0.125,12.07,11.23
Bass,23.44,1.27,6.06,0.161,21.33,7.47
Tilapia,24.71,1.12,7.37,0.192,22.2,6.8
Tilapia,29.36,1.11,7.85,0.301,5.07,
Tilapia,24.23,1.0,7.61,0.273,17.22,7.18
Goldfish,21.4,1.9,7.46,0.225,24.95,5.64
Salmon,14.49,0.1,7.4,0.015,18.57,6.23
Bass,24.45,2.08,6.81,0.02,32.34,4.01
Salmon,6.97,0.77,7.94,0.095,13.31,9.12
Salmon,15.57,0.11,,0.165,6.47,7.37
Catfish,20.99,6.71,6.05,0.438,32.83,4.21
Catfish,26.5,5.13,7.14,0.396,34.3,6.13
Goldfish,20.75,1.61,7.85,0.007,17.07,6.41
Bass,25.1,1.96,8.44,0.091,31.33,5.99
Salmon,13.69,1.94,6.91,0.072,2.37,10.76
Salmon,14.03,0.61,7.95,0.026,7.45,7.64
Catfish,20.06,9.42,6.92,0.642,40.75,4.49
Bass,23.06,2.28,6.06,0.002,7.22,7.17
Bass,16.44,1.52,6.36,0.06,28.11,4.83
Salmon,4.11,1.46,7.18,0.04,9.18,11.93
Goldfish,23.09,1.95,6.63,0.155,6.66,
Catfish,22.57,7.72,6.82,0.116,,4.9
Trout,9.75,0.36,7.36,0.015,2.38,9.23
Trout,7.76,2.93,6.95,0.123,11.46,10.26
Salmon,6.4,1.02,7.31,,13.41,9.07
Bass,16.93,2.64,8.49,0.078,41.1,7.59
Catfish,24.09,9.09,7.79,0.823,31.52,3.68
Trout,5.92,1.9,7.42,0.11,1.53,11.5
Salmon,14.7,0.89,7.33,0.012,20.57,10.34
Catfish,24.47,8.32,6.3,0.404,42.61,5.58
Tilapia,26.54,4.5,7.31,0.035,6.07,6.75
Salmon,4.47,0.68,7.59,0.053,16.89,11.25
Trout,7.57,2.11,7.39,0.171,8.37,9.59
Tilapia,24.59,3.85,7.91,0.359,30.09,6.64
Trout,10.12,0.68,6.55,0.027,13.09,8.71
Catfish,22.43,4.31,7.7,0.393,12.08,5.03
Salmon,7.36,1.57,7.92,0.033,23.71,10.59
Catfish,20.49,4.84,6.54,0.423,35.94,4.75
Catfish,23.52,2.25,7.81,0.243,55.73,4.29
Tilapia,22.31,1.34,6.56,0.075,43.94,6.64
Catfish,20.84,8.28,7.99,0.645,53.78,4.38
Trout,5.46,0.28,7.82,0.117,3.13,7.02
Salmon,14.19,,6.84,0.11,0.26,7.12
Catfish,24.41,6.38,6.54,0.019,27.0,5.7
Salmon,12.69,1.68,6.57,0.167,27.45,9.17
Tilapia,23.03,3.83,7.13,0.24,24.18,4.18
Bass,26.8,2.89,8.1,0.001,37.01,8.87
Salmon,9.47,0.43,6.74,0.132,9.22,7.55
Trout,4.67,1.9,7.92,0.113,8.77,9.07
Trout,12.16,0.94,6.61,,17.33,11.45
Salmon,10.43,0.04,6.92,0.08,5.04,11.85
Catfish,22.58,8.18,7.19,0.548,56.74,5.51
Salmon,7.81,0.41,7.15,0.198,28.54,10.51
Tilapia,26.71,4.48,6.81,0.052,15.34,7.88
Trout,8.33,1.3,7.38,0.03,0.18,9.68
Catfish,26.23,4.17,7.97,0.793,34.33,5.31
Bass,23.62,4.69,7.54,0.017,31.11,7.9
Trout,16.63,0.48,6.81,0.118,3.64,7.21
Goldfish,12.63,2.75,7.46,0.252,26.44,8.79
Trout,7.68,1.63,7.94,0.017,9.84,8.42
Salmon,10.51,1.04,6.65,0.045,19.23,6.58
Bass,18.12,3.97,7.34,0.013,47.91,4.09
Goldfish,18.73,3.46,6.92,0.145,35.09,5.04
Tilapia,24.17,1.74,7.94,0.066,29.0,7.44
Tilapia,28.16,2.77,7.8,0.178,31.21,7.73
Salmon,4.87,1.95,7.0,0.145,13.48,10.89
Catfish,21.11,8.72,6.05,0.338,54.36,4.45
Salmon,15.68,0.35,6.83,0.01,24.96,6.57
Catfish,23.69,2.99,7.32,0.912,14.17,6.98
Tilapia,25.16,2.77,7.91,0.199,27.79,7.43
Trout,7.27,0.65,7.73,0.022,8.48,10.16
Bass,20.67,2.03,7.75,0.29,12.12,4.49
Salmon,10.66,0.8,7.24,0.118,2.19,10.36
Tilapia,25.13,2.91,7.6,0.211,41.46,7.92
Catfish,27.36,9.49,7.18,0.007,11.54,3.2
Trout,17.69,0.01,7.42,0.085,7.95,9.35
Salmon,6.0,0.22,7.12,0.035,1.74,8.4
Goldfish,,2.74,7.91,0.241,,6.94
Tilapia,25.56,1.13,7.85,0.319,16.47,7.41
Tilapia,23.62,1.29,7.11,0.467,46.55,5.27
Tilapia,,3.33,6.96,0.105,31.3,4.51
Goldfish,10.95,2.68,7.22,0.234,10.82,5.08
Bass,15.68,5.18,8.24,0.153,20.53,6.94
Goldfish,17.6,2.23,7.78,0.076,31.78,8.88
Tilapia,29.61,1.7,7.2,0.24,37.83,5.29
Goldfish,13.69,3.44,6.92,0.086,18.13,5.35
Tilapia,22.05,2.06,8.38,0.398,,4.55
Goldfish,18.88,2.99,7.14,0.21,2.31,5.66
Salmon,5.4,0.82,6.85,0.142,15.96,7.18
Tilapia,24.59,3.79,7.85,0.066,31.57,
Trout,10.94,1.57,8.0,0.073,,7.68
Goldfish,22.34,2.04,7.02,0.326,4.65,7.51
Bass,24.99,4.13,,0.131,41.19,4.65
Catfish,26.86,6.26,6.58,0.767,33.84,5.35
Bass,22.59,2.29,7.13,0.014,27.51,8.35
Trout,11.95,1.81,7.77,0.136,12.68,
Catfish,,5.13,7.19,0.62,51.01,3.7
Trout,9.0,0.85,6.97,0.054,15.07,9.87
Trout,4.06,1.6,6.94,0.167,19.78,7.69
Trout,14.15,0.03,6.83,0.17,11.08,11.83
Catfish,23.33,8.56,6.28,0.434,10.97,4.27
Goldfish,12.69,2.44,7.05,0.247,9.2,5.47
Salmon,5.14,0.07,7.38,0.168,16.69,10.09
Salmon,4.09,1.59,6.79,0.143,25.74,10.28
Bass,15.41,5.93,7.02,0.25,17.41,4.55
Salmon,4.8,1.17,7.8,0.014,28.15,8.82
Bass,21.77,5.79,6.54,0.286,12.07,5.18
Bass,18.35,4.01,6.8,0.207,29.26,7.97
Tilapia,26.92,2.61,7.35,0.485,19.02,5.55
Catfish,25.75,5.81,6.82,0.412,49.38,5.49
Salmon,7.65,0.09,7.15,0.143,22.98,6.41
Tilapia,27.37,3.37,8.42,0.337,47.98,7.6
Tilapia,24.7,1.45,6.72,0.352,31.74,5.51
Salmon,10.14,0.75,7.65,0.078,7.47,11.77
Tilapia,25.7,4.66,,0.25,29.45,5.84
Salmon,8.03,1.56,7.45,0.102,19.91,11.96
Goldfish,21.26,3.5,7.87,0.476,2.18,5.19
Bass,23.44,4.44,7.27,0.089,48.36,8.03
Goldfish,15.26,3.14,7.85,0.394,2.34,8.12
Trout,5.59,0.69,7.38,0.176,7.43,11.42
Catfish,27.31,7.82,7.17,0.54,11.63,5.39
Salmon,4.31,1.94,7.36,0.083,10.25,9.43
Goldfish,13.26,1.59,6.88,0.368,33.84,8.49
Trout,11.55,1.84,6.75,0.142,16.13,11.25
Catfish,26.74,2.7,6.84,0.467,42.91,5.02
Salmon,12.28,,7.88,0.198,4.06,10.8
Salmon,9.51,0.21,7.03,0.077,10.66,9.13
Goldfish,13.12,3.49,7.76,0.108,22.68,8.94
Tilapia,29.89,3.95,7.06,0.465,2.35,
Salmon,8.57,0.05,6.58,0.14,26.81,6.09
Salmon,15.72,0.59,7.04,0.087,22.26,8.43
Salmon,4.53,0.51,7.74,0.138,14.85,7.98
Salmon,15.23,0.29,6.78,0.159,4.8,
Bass,26.87,4.91,6.48,0.07,33.25,7.02
Tilapia,28.91,2.32,7.7,0.478,26.81,6.98
Tilapia,24.21,2.26,6.86,0.32,4.96,7.23
Goldfish,19.91,3.1,7.67,0.159,18.34,8.62
Trout,8.07,2.23,7.76,0.037,19.26,10.98
Trout,,0.65,6.69,0.062,10.91,8.57
Trout,14.71,2.22,7.47,0.057,17.42,7.63
Trout,17.26,0.66,7.65,0.123,15.2,9.9
Tilapia,25.91,4.01,6.91,0.031,18.14,6.96
Bass,21.95,4.92,7.75,0.066,24.99,5.7
Trout,4.07,2.19,7.87,0.08,4.54,7.47
Goldfish,12.62,1.01,7.76,0.145,37.16,6.02
Catfish,25.9,2.08,7.44,0.693,12.57,4.81
Salmon,12.6,0.94,7.22,0.145,4.89,8.6
Goldfish,11.61,3.83,6.93,0.466,2.25,7.74
Trout,10.44,0.6,7.35,0.168,5.43,8.26
Trout,15.76,1.63,6.56,0.113,12.1,8.44
Bass,20.26,4.76,7.14,0.12,40.71,4.96
Tilapia,25.21,1.62,8.38,0.002,24.25,4.05
Trout,4.03,2.71,6.97,0.026,14.57,7.62
Goldfish,20.11,2.88,7.88,0.458,11.73,7.3
Trout,10.96,2.05,7.29,0.022,19.51,8.98
Trout,8.97,1.45,7.26,0.158,5.41,10.34
Tilapia,25.52,4.27,7.58,0.158,22.89,4.47
Tilapia,26.02,2.72,7.86,0.004,8.27,7.1
Tilapia,26.54,3.73,6.91,0.31,47.43,5.34
Goldfish,18.88,1.33,7.26,0.116,1.04,5.99
Bass,24.32,1.47,6.49,0.096,49.5,4.53
Goldfish,21.27,3.56,7.3,0.351,2.29,6.84
Goldfish,15.53,3.83,,0.34,10.36,6.94
Goldfish,14.64,2.91,7.64,0.036,25.55,7.6
Salmon,11.22,1.09,6.72,0.048,13.6,10.9
Goldfish,16.77,2.64,7.66,,7.8,6.02
Salmon,9.6,1.66,7.94,0.072,11.25,9.53
Salmon,14.37,0.82,7.01,0.122,0.73,11.44
Catfish,23.17,3.68,6.16,0.637,48.25,6.94
Salmon,11.74,0.33,6.6,0.08,7.07,8.37
Tilapia,28.93,4.94,6.53,0.386,10.18,6.08
Catfish,22.96,4.92,6.86,0.253,49.42,6.17
Catfish,25.81,4.69,6.5,0.758,34.48,6.35
Salmon,14.53,1.78,6.65,0.035,12.02,7.33
Bass,23.83,2.65,6.44,0.024,41.9,7.45
Tilapia,24.23,1.88,8.32,0.387,36.3,4.36
Tilapia,23.33,3.14,7.57,0.096,44.18,
Trout,7.14,2.02,6.69,0.106,2.55,11.34
Trout,6.02,2.3,7.37,0.191,16.54,10.75
Goldfish,16.25,3.66,7.47,0.302,35.6,7.9
Salmon,7.29,1.36,6.54,0.069,5.05,6.9
Salmon,6.04,1.61,7.7,0.003,4.23,8.85
Trout,13.05,2.16,7.84,0.079,6.31,11.5
Salmon,12.89,0.85,6.95,0.02,5.73,7.47
Salmon,12.85,1.75,6.93,0.186,23.41,6.08
Trout,10.16,1.49,7.36,0.012,9.1,11.32
Bass,25.12,1.12,7.03,0.124,49.64,4.15
Trout,14.85,0.95,7.79,0.182,10.6,11.62
Goldfish,17.31,3.69,6.87,0.032,33.65,6.8
Catfish,26.22,9.31,6.48,0.022,24.4,3.4
Tilapia,,3.95,7.16,0.498,2.55,7.55
Tilapia,23.42,1.77,6.8,0.235,48.58,5.48
Salmon,14.72,1.94,6.58,0.182,1.16,11.96
Goldfish,23.76,3.93,6.84,0.094,35.5,6.34
Catfish,27.18,6.79,7.29,0.765,33.72,5.38
Tilapia,23.43,1.55,7.59,0.178,36.58,4.61
Salmon,8.92,1.81,7.0,0.181,2.69,9.77
Catfish,20.1,2.84,6.97,0.505,31.54,6.39
Salmon,15.76,1.52,6.72,0.177,19.75,8.64
Trout,7.69,0.91,7.42,0.14,10.59,7.53
Bass,16.77,4.46,7.04,0.179,11.68,8.8
Goldfish,11.55,2.51,7.26,0.175,37.29,8.7
Goldfish,11.05,2.79,7.9,0.146,16.51,8.1
Goldfish,16.63,1.7,7.67,0.331,4.48,5.94
Tilapia,24.9,2.97,7.35,0.019,16.79,4.63
Catfish,24.96,7.31,6.91,,30.61,3.82
Tilapia,24.46,1.35,8.48,0.126,,5.62
Tilapia,29.58,2.92,7.64,0.419,11.8,5.56
Bass,21.94,2.69,7.38,0.082,44.69,7.76
Catfish,25.24,6.86,6.59,0.679,47.45,4.76
Salmon,4.94,1.4,,0.127,26.28,10.3
Tilapia,25.68,2.97,7.25,0.185,22.07,5.92
Trout,13.83,1.02,6.71,0.103,6.76,11.87
Goldfish,13.09,1.69,6.63,0.374,37.0,8.4
Catfish,23.18,9.54,6.6,0.746,59.21,4.16
Goldfish,11.64,1.7,7.21,0.07,31.99,5.94
Salmon,12.23,1.5,6.96,0.057,0.94,6.97
Bass,22.69,2.08,6.43,0.211,23.11,6.06
Catfish,25.18,,7.45,0.555,25.05,3.49
Tilapia,26.01,2.29,8.29,0.376,0.66,7.17
Catfish,21.58,6.51,7.5,0.893,37.47,4.48
Catfish,22.18,9.14,6.61,0.954,29.66,3.89
Bass,20.97,1.72,6.23,0.191,9.39,6.49
Tilapia,27.0,4.11,8.35,0.21,22.56,7.36
Trout,17.14,1.05,,0.117,12.82,7.65
Catfish,21.33,4.09,7.4,0.621,58.52,5.68
Catfish,23.25,4.84,7.23,0.406,52.64,3.6
Goldfish,16.67,3.39,6.53,0.245,39.25,8.64
Goldfish,15.65,1.32,7.76,0.353,7.79,
Trout,7.54,2.55,7.64,0.094,17.46,7.18
Bass,19.79,4.22,7.11,0.033,17.63,6.24
Tilapia,28.93,1.86,6.54,0.468,29.0,7.12
Salmon,15.04,1.98,6.58,0.17,6.56,8.45
Bass,22.46,5.67,8.38,0.011,16.0,5.6
Goldfish,14.36,3.66,7.48,0.087,17.91,7.43
Bass,20.48,1.52,6.64,0.251,,8.41
Trout,4.06,2.86,7.7,0.083,19.55,8.15
Tilapia,29.72,1.27,6.93,0.063,45.71,7.52
Tilapia,28.55,2.32,7.52,0.33,28.06,4.63
Goldfish,10.23,1.84,6.75,0.444,31.93,
Tilapia,22.68,4.9,7.14,0.426,,4.09
Goldfish,16.34,1.4,7.51,0.473,0.4,5.43
Bass,22.34,2.72,7.99,0.183,40.51,8.85
Bass,22.82,1.49,6.66,0.052,36.54,7.12
Bass,19.82,1.5,7.03,0.273,35.15,8.65
Catfish,22.07,6.39,7.38,0.191,28.78,4.54
Salmon,9.5,1.85,6.84,0.001,11.2,7.72
Catfish,27.15,3.68,7.72,0.229,54.78,6.07
Bass,20.09,3.79,7.09,0.219,8.53,6.18
Bass,23.51,2.96,6.42,0.147,42.47,6.31
Trout,14.98,1.03,6.74,0.16,5.36,11.9
Catfish,24.21,8.24,7.96,0.878,20.15,4.41
Catfish,20.48,3.76,7.44,0.61,45.1,5.52
Goldfish,14.59,2.44,7.47,0.302,13.36,8.2
Tilapia,,4.35,8.19,0.104,,6.99
Catfish,26.56,5.22,7.45,0.827,16.44,4.41
Trout,11.84,0.32,6.87,0.119,15.02,11.76
Catfish,20.98,5.95,6.64,0.955,,6.83
Bass,19.69,3.41,6.35,0.109,22.84,7.36
Goldfish,12.98,2.49,8.0,0.368,10.63,5.23
Catfish,26.44,2.57,6.06,0.011,33.87,4.31
Tilapia,28.15,2.22,6.56,0.155,3.71,4.46
Goldfish,21.58,2.55,7.63,0.302,2.39,7.2
Catfish,,9.87,6.71,0.114,13.35,6.33
Goldfish,19.04,1.12,7.44,0.48,38.52,8.66
Catfish,,6.2,6.03,0.406,27.97,
Bass,26.19,5.71,6.77,0.048,49.09,4.2
Bass,18.86,4.24,7.6,,42.96,6.85
Salmon,11.27,1.32,7.08,0.073,26.37,11.52
Tilapia,25.06,4.37,6.75,0.308,16.52,7.31
Bass,16.42,4.71,7.79,0.181,48.28,7.67
Trout,11.79,2.09,7.66,0.185,,10.54
Goldfish,16.79,3.1,6.86,0.012,22.53,7.25
Salmon,7.88,1.03,7.76,0.095,2.49,8.49
Bass,20.27,3.58,6.75,0.256,39.38,6.46
Goldfish,17.66,1.87,7.87,0.111,6.89,5.15
Bass,20.48,1.55,6.72,0.181,22.16,5.44
Salmon,10.93,0.59,7.96,0.058,21.81,11.32
Goldfish,11.24,2.44,7.51,0.222,39.58,7.76
Trout,5.1,2.43,7.85,0.135,2.78,11.66
Tilapia,24.37,4.06,7.21,0.301,8.12,5.51
Catfish,25.85,5.75,7.86,0.95,31.53,3.53
Goldfish,14.59,,7.6,0.315,30.23,5.57
Goldfish,18.55,2.8,7.76,0.163,23.73,7.64
Trout,15.07,2.22,7.27,0.166,10.15,11.4
Salmon,12.94,0.98,7.39,0.148,23.32,10.3
Catfish,22.38,8.63,7.99,0.965,57.33,4.05
Bass,19.57,2.34,7.18,0.242,40.66,7.05
Tilapia,22.09,3.05,7.52,0.339,11.05,7.95
Catfish,21.43,3.24,7.89,0.365,23.95,6.33
Goldfish,13.3,1.26,6.63,0.384,15.94,7.2
Trout,12.62,0.03,7.1,0.101,12.49,10.42
Salmon,11.0,0.7,6.71,0.145,12.01,10.75
Goldfish,11.57,3.69,7.19,0.22,35.28,8.84
Salmon,9.4,0.41,7.16,0.016,11.88,6.13
Goldfish,19.43,2.77,7.25,0.366,23.59,8.78
Tilapia,26.98,2.22,8.36,0.292,41.77,
Trout,7.9,1.63,6.62,0.023,10.99,10.99
Goldfish,20.49,3.28,6.73,0.4,26.41,5.73
Trout,9.27,1.65,7.49,0.171,7.1,10.3
Tilapia,24.42,2.55,7.44,0.257,6.94,6.96
Catfish,23.22,4.42,6.38,0.82,54.06,5.74
Bass,23.67,2.01,7.59,0.001,43.2,7.23
Salmon,7.29,0.14,6.78,0.177,1.38,6.9
Goldfish,21.21,2.82,6.59,0.431,9.13,8.86
Tilapia,26.84,1.07,7.06,0.228,12.94,4.0
Tilapia,24.87,2.44,6.78,0.424,4.74,5.78
Trout,8.06,1.55,7.39,0.1,2.7,11.85
Salmon,12.77,0.47,7.05,0.053,21.07,8.31
Trout,,2.27,6.9,0.127,2.07,9.29
Bass,24.27,1.35,8.16,0.006,33.19,7.68
Catfish,21.41,8.89,7.1,0.757,36.37,3.3
Tilapia,23.26,3.44,6.85,0.498,0.91,7.93
Tilapia,27.85,3.82,6.87,0.418,6.23,4.44
Salmon,5.74,1.4,7.23,0.014,5.57,6.44
Bass,22.87,5.03,7.3,0.079,22.75,4.95
Tilapia,27.94,4.52,7.0,0.115,14.97,5.63
Catfish,27.31,5.39,6.92,0.593,21.78,4.87
Goldfish,19.65,3.8,7.46,0.042,3.48,5.57
Goldfish,14.4,2.23,7.98,0.445,19.56,
Catfish,21.47,7.95,6.17,0.854,32.43,5.82
Bass,26.85,1.84,7.01,0.239,20.68,6.09
Salmon,7.89,1.48,7.56,0.063,25.51,6.59
Bass,24.57,2.1,7.0,0.291,13.73,5.45
Bass,25.47,3.72,7.93,0.291,17.15,8.97
Catfish,21.55,5.72,6.79,0.001,20.88,6.54
Bass,18.66,5.91,6.59,0.291,28.98,5.43
Salmon,6.01,1.39,7.4,0.037,16.59,10.49
Goldfish,18.06,3.12,7.81,0.383,12.12,7.26
Trout,6.97,0.46,7.34,0.01,18.3,9.32
Tilapia,24.8,3.7,6.95,0.234,7.88,5.46
Trout,16.39,0.03,7.68,0.103,12.7,10.04
Salmon,12.94,0.82,7.71,0.194,21.48,6.01
Catfish,27.1,6.73,7.57,0.643,18.15,4.33
Catfish,22.36,,7.91,0.13,26.06,3.5
Salmon,10.14,1.14,6.83,0.088,9.35,11.51
Catfish,26.29,6.33,6.97,0.242,37.63,5.78
Trout,4.62,0.73,7.86,0.079,13.05,8.92
Salmon,7.0,1.62,6.58,0.15,17.91,7.73
Bass,23.61,5.43,7.1,0.283,42.31,7.63
Salmon,15.65,1.13,7.15,0.189,9.98,6.65
Goldfish,11.01,1.03,6.66,0.225,12.57,7.23
Goldfish,13.47,1.15,6.87,0.044,29.82,8.95
Bass,22.13,5.03,6.75,0.158,49.53,4.39
Salmon,8.25,0.64,7.56,0.162,26.38,11.24
Trout,12.63,0.87,7.57,0.183,2.67,10.28
Goldfish,23.02,3.76,7.13,0.074,28.81,5.33
Goldfish,21.12,1.21,7.31,0.224,18.17,8.9
Trout,9.84,2.46,7.72,0.123,6.63,7.87
Salmon,5.51,1.02,7.57,0.049,17.48,7.65
Tilapia,29.33,4.13,7.84,,45.56,4.75
Bass,18.41,3.31,8.15,0.271,41.54,4.58
Salmon,5.25,0.57,6.77,0.089,14.35,6.67
Goldfish,23.33,,7.6,0.279,21.9,7.99
Salmon,6.48,1.1,7.67,0.024,28.17,9.55
Trout,5.1,2.82,6.83,0.139,13.44,8.93
Bass,26.87,2.47,6.15,0.2,49.64,8.47
Trout,13.09,,6.93,0.068,7.75,9.68
Goldfish,16.49,2.81,6.95,0.155,,7.02
Goldfish,12.8,2.55,7.83,0.283,31.62,5.81
Bass,23.11,4.67,6.34,0.203,23.02,5.14
Tilapia,,1.78,8.09,0.237,22.3,7.44
Goldfish,21.77,3.9,7.86,0.052,18.28,6.63
Trout,4.07,2.39,6.88,0.187,3.77,11.32
Tilapia,27.74,1.43,7.51,0.037,9.43,4.85
Goldfish,14.12,2.04,7.11,0.196,14.74,5.61
Trout,15.77,2.77,7.91,0.185,19.25,8.63
Catfish,26.86,7.82,6.04,0.271,41.23,5.63
Bass,23.87,3.52,7.57,0.063,8.78,7.77
Trout,15.15,0.35,7.38,0.102,18.0,10.23
Goldfish,19.11,2.3,6.62,0.307,30.02,5.07
Tilapia,29.24,2.79,6.97,,47.33,4.03
Goldfish,12.86,2.1,6.54,0.059,1.94,5.1
Catfish,20.07,6.74,7.15,0.576,48.44,3.34
Bass,24.92,2.25,7.96,0.277,46.92,5.75
Bass,23.54,3.03,6.67,0.294,49.0,7.19
Catfish,23.51,6.55,7.97,0.45,50.56,6.98
Salmon,12.3,,7.23,0.04,28.94,6.09
Goldfish,12.14,3.47,7.58,0.281,37.68,7.71
Goldfish,11.18,1.6,6.56,0.192,31.55,8.98
Catfish,25.13,6.89,7.09,0.115,27.64,3.91
Salmon,7.63,0.56,7.61,0.034,14.12,11.8
Salmon,9.82,0.12,7.87,0.02,27.37,6.18
Bass,19.92,4.71,7.34,0.042,44.88,4.37
Catfish,27.11,2.63,6.59,0.15,54.1,3.08
Bass,16.15,,8.32,0.276,15.8,5.93
Salmon,9.18,1.07,7.3,0.193,7.89,8.91
Salmon,11.39,1.47,7.91,0.04,22.96,6.11
Trout,13.76,2.75,7.03,0.179,14.36,8.61
Tilapia,29.7,1.25,8.14,0.104,45.25,6.84
Salmon,10.03,1.91,7.12,0.176,,6.99
Salmon,13.11,0.9,7.35,0.01,7.42,8.82
Salmon,8.69,,7.4,0.099,22.87,9.39
Catfish,21.38,7.83,8.0,0.185,34.43,6.77
Catfish,27.08,8.1,7.2,0.087,38.51,6.86
Trout,6.91,1.65,6.88,0.108,14.36,7.41
Goldfish,16.87,2.41,6.99,0.278,13.49,8.86
Tilapia,22.97,1.06,7.57,0.181,46.7,6.34
Salmon,4.55,1.09,7.95,0.1,12.29,11.49
Bass,25.74,3.65,7.48,0.055,47.58,7.37
Tilapia,28.78,4.67,6.5,0.463,4.6,
Salmon,11.19,1.83,7.12,0.038,21.41,10.2
Salmon,13.22,1.44,7.14,0.167,11.67,
Goldfish,14.94,1.2,7.56,0.455,16.22,7.83
Bass,16.29,2.3,7.95,0.175,9.21,4.52
Goldfish,17.66,3.73,7.59,0.02,19.15,6.44
Salmon,6.58,0.48,7.76,0.064,1.17,10.64
Bass,21.14,4.09,6.79,0.255,13.23,6.79
Tilapia,22.2,3.0,7.38,0.263,40.32,6.95
Tilapia,29.33,4.87,7.59,0.143,3.76,6.96
Catfish,27.85,9.04,7.28,0.286,50.49,4.37
Tilapia,22.83,2.83,6.96,0.277,22.54,4.74
Goldfish,12.57,3.09,7.58,0.189,9.66,7.08
Catfish,23.69,6.59,7.68,0.844,22.12,4.24
Salmon,5.91,0.86,7.86,0.151,16.14,9.32
Tilapia,29.43,3.07,7.97,0.498,5.41,7.03
Goldfish,11.64,1.91,7.95,0.386,4.92,6.44
Trout,9.24,1.06,7.03,0.111,18.13,11.21
Bass,16.49,4.45,6.12,0.187,11.38,7.46
Bass,22.23,1.21,6.29,0.259,14.27,8.41
Salmon,13.67,1.37,7.83,0.071,23.86,8.22
Trout,5.54,2.33,6.9,0.094,12.26,8.33
Goldfish,18.05,2.56,7.14,0.235,24.78,6.55
Tilapia,27.59,2.47,7.83,0.388,18.54,5.62
Trout,5.32,2.51,6.81,0.085,9.11,9.7
Trout,8.93,0.13,6.9,0.014,16.08,8.05
Tilapia,25.11,3.22,7.8,0.202,16.67,6.43
Bass,24.93,5.16,6.52,0.015,27.06,8.88
Trout,11.71,0.1,7.11,0.099,19.89,9.73
