Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
,12.8,7.35,6.75,10.18
Goldfish,24.25,7.77,13.86,7.59
Eel,11.79,7.75,25.21,7.99
Clownfish,25.26,7.99,0.87,5.97
Eel,16.13,6.31,,5.34
Goldfish,19.56,7.67,19.79,6.61
Eel,12.65,6.38,28.59,7.08
Trout,13.21,7.21,9.92,10.8
Tilapia,24.16,6.84,41.99,4.04
Tilapia,28.52,,35.24,4.23
Catfish,23.9,6.07,68.38,6.0
Tilapia,23.62,7.43,11.33,7.7
Clownfish,26.73,7.86,3.37,7.22
Eel,8.74,7.8,17.75,
Goldfish,19.54,7.01,18.17,5.34
Eel,11.72,6.33,22.77,7.86
,24.68,7.15,98.91,3.84
Salmon,9.62,6.96,0.48,9.45
Bass,20.65,7.04,29.6,4.66
Tilapia,28.84,7.14,28.06,6.17
Clownfish,25.06,8.29,1.2,6.61
Goldfish,15.19,8.48,6.37,7.86
Goldfish,10.21,8.02,7.42,7.17
Goldfish,21.71,7.88,,
Eel,20.29,6.36,19.59,5.03
Catfish,,6.23,24.52,3.11
Tilapia,29.12,7.11,25.73,6.7
Clownfish,26.98,8.16,4.11,5.89
Clownfish,25.91,8.26,2.02,5.24
Eel,5.86,7.03,26.75,6.36
Salmon,14.21,6.79,8.16,7.28
Salmon,11.5,6.76,6.41,6.12
Eel,6.57,6.74,26.53,3.47
Bass,23.55,7.19,30.86,8.79
Goldfish,16.26,8.35,10.14,7.58
Bass,21.79,6.07,10.23,7.27
Catfish,27.94,7.02,,3.89
Salmon,14.73,6.8,9.56,9.17
Eel,11.7,6.89,,3.93
Clownfish,24.65,8.06,3.29,7.67
Trout,,7.43,9.52,9.62
Bass,18.13,6.7,13.71,8.7
Tilapia,29.82,6.97,13.81,6.5
Clownfish,,7.93,2.06,6.2
Goldfish,17.58,7.45,6.96,6.86
Goldfish,23.78,7.16,19.66,7.95
Clownfish,28.0,7.97,2.25,6.97
Catfish,,6.45,55.87,4.04
Salmon,11.24,7.0,0.97,9.47
Catfish,24.66,7.2,68.7,6.58
Salmon,10.55,7.23,8.37,6.09
Tilapia,25.79,7.12,11.75,7.88
Eel,15.84,7.55,23.84,5.99
Salmon,15.0,7.29,5.35,11.39
Goldfish,23.74,7.1,15.01,6.05
Trout,15.16,7.23,2.1,10.28
Clownfish,26.3,8.15,1.12,5.89
Catfish,22.17,7.65,60.56,3.62
Salmon,12.37,7.21,4.28,9.4
Bass,19.38,,49.94,9.71
Eel,16.94,7.19,28.41,6.05
Salmon,12.66,6.66,2.56,10.14
Tilapia,27.63,6.85,28.69,4.24
Salmon,12.08,7.14,0.24,6.48
Eel,21.11,7.56,27.04,6.55
Clownfish,26.84,8.15,0.2,7.4
Salmon,12.51,7.33,8.34,7.51
Clownfish,26.56,7.89,1.36,7.18
Goldfish,19.81,7.93,5.18,6.71
Clownfish,26.58,8.16,0.6,5.34
Tilapia,24.21,6.54,29.19,6.57
Eel,15.13,7.06,24.88,4.05
Clownfish,27.01,8.03,3.28,5.13
Tilapia,25.98,7.88,39.95,
Trout,12.46,6.99,0.54,7.38
Bass,19.49,6.3,30.44,7.7
Goldfish,14.9,7.31,13.63,5.35
Trout,,7.33,,8.15
Tilapia,23.98,6.76,31.86,5.78
Goldfish,20.63,7.91,,5.82
Salmon,11.1,7.27,4.66,10.93
Bass,20.68,7.21,11.74,5.64
Trout,15.82,7.15,2.98,8.16
Salmon,11.32,6.76,9.72,8.65
Eel,11.78,6.66,14.13,4.62
Goldfish,10.15,8.3,11.26,7.36
Tilapia,23.95,7.56,13.28,4.85
Goldfish,20.23,7.53,12.87,6.0
Tilapia,24.64,,39.94,
Clownfish,25.09,7.92,1.85,5.29
Trout,14.9,7.03,3.32,9.88
Catfish,25.54,7.75,45.87,
Eel,13.09,6.76,14.88,5.03
Bass,24.74,6.27,29.19,8.96
Eel,7.19,6.18,15.72,6.84
Salmon,14.33,6.65,7.39,9.86
Clownfish,25.2,8.08,4.72,5.79
Salmon,11.55,6.63,7.53,9.79
Eel,5.81,6.04,10.91,5.97
Tilapia,24.45,6.84,13.95,7.51
Goldfish,23.14,7.71,17.25,6.25
Catfish,24.12,7.01,9.9,5.78
Trout,12.23,7.35,2.86,11.83
Catfish,23.6,,11.87,6.98
,27.65,7.96,18.08,
Salmon,10.48,6.91,9.0,8.37
Catfish,23.75,,62.46,6.25
Catfish,25.8,,14.68,3.83
Clownfish,27.93,8.13,0.13,6.95
Trout,,6.54,7.25,10.95
Clownfish,26.63,8.19,4.6,5.21
Clownfish,26.34,8.3,4.31,7.93
Goldfish,13.65,7.02,7.93,5.82
Catfish,27.89,6.28,11.62,3.99
Catfish,25.65,7.81,62.68,5.11
Bass,19.52,6.75,15.28,5.0
Clownfish,27.92,8.35,1.12,6.26
Trout,,7.02,3.96,10.41
Tilapia,24.31,6.61,44.24,5.18
Salmon,8.94,6.71,9.79,7.8
Catfish,26.24,7.67,58.76,3.38
Trout,10.4,6.85,8.46,7.22
Trout,14.81,6.55,8.65,8.58
Catfish,26.21,6.89,,5.09
Catfish,25.12,7.42,66.04,6.73
Eel,16.56,7.19,10.65,4.18
Goldfish,,7.43,14.66,7.07
Goldfish,20.25,8.04,11.98,7.18
Salmon,14.89,6.58,3.11,
Catfish,26.0,6.97,23.77,
Eel,11.97,6.83,20.89,
Goldfish,16.14,7.22,15.7,
Trout,16.19,7.31,,7.56
Clownfish,26.06,7.93,0.85,7.99
Salmon,12.32,6.78,1.39,9.92
Salmon,14.02,7.11,0.33,6.58
Eel,20.46,6.85,21.05,7.26
Catfish,24.19,7.83,11.65,3.12
Tilapia,27.78,7.84,38.37,6.07
Tilapia,26.52,7.01,32.89,5.24
Trout,10.97,7.48,7.39,11.65
Catfish,21.26,6.09,35.52,5.42
Tilapia,23.57,7.38,35.86,4.36
Salmon,10.56,7.49,4.01,7.76
Bass,17.75,6.76,26.32,7.38
Clownfish,26.23,8.15,3.06,6.47
Tilapia,24.57,7.21,34.06,
Goldfish,14.07,7.71,10.09,7.55
,12.93,6.69,8.12,11.44
Tilapia,22.0,7.07,37.04,5.39
Trout,,7.31,0.59,11.18
Eel,5.38,7.8,26.85,7.34
Goldfish,18.82,7.63,12.93,7.22
Salmon,13.71,7.2,9.34,6.47
Eel,12.41,7.76,13.43,7.61
Catfish,23.72,6.86,55.85,4.85
Tilapia,23.06,6.69,49.27,5.54
Bass,21.45,7.42,32.02,7.67
Bass,23.65,7.35,14.24,5.86
Goldfish,22.0,8.39,10.09,5.68
Eel,19.13,7.5,,4.51
Eel,9.18,6.4,16.66,7.67
Clownfish,25.5,8.2,3.41,6.99
Clownfish,25.57,7.83,4.29,7.56
Tilapia,26.42,,20.35,4.49
Salmon,8.54,7.31,5.91,10.32
Catfish,23.43,7.37,22.43,3.37
Eel,21.59,,15.98,4.3
Trout,17.1,7.08,3.47,8.73
Eel,6.96,7.45,12.89,5.89
Tilapia,23.3,6.71,37.33,4.96
Catfish,20.62,7.07,99.71,5.67
Salmon,12.7,6.85,2.6,
Bass,19.63,7.02,14.52,
Clownfish,26.86,8.03,4.35,7.72
Goldfish,21.17,7.93,15.46,7.67
Trout,13.61,6.63,4.69,10.37
Salmon,12.69,7.05,2.68,6.39
Clownfish,26.94,7.96,3.25,6.52
Goldfish,11.14,7.18,19.73,6.35
Salmon,12.86,6.53,8.9,10.84
Catfish,22.51,7.24,24.3,
Goldfish,16.05,7.46,16.18,6.69
Trout,12.74,7.1,3.16,11.14
Clownfish,26.06,8.29,0.9,7.88
Clownfish,27.35,7.99,2.03,5.7
Tilapia,23.17,6.66,28.15,5.89
Tilapia,25.71,6.95,33.08,4.51
Trout,11.85,6.5,4.28,8.98
Salmon,11.19,7.44,5.54,7.85
Bass,18.97,6.19,10.09,9.38
Trout,12.33,7.25,2.88,9.32
Tilapia,27.9,6.66,41.76,6.61
Tilapia,24.01,6.65,48.3,5.95
Tilapia,23.72,6.88,10.03,5.9
Eel,14.87,7.46,16.37,5.61
Bass,16.94,6.88,9.24,8.06
Bass,22.23,6.71,38.23,4.17
Tilapia,28.29,7.94,40.75,4.37
Catfish,23.86,6.45,28.61,5.18
Eel,19.13,6.2,20.6,3.19
Salmon,14.14,7.05,2.12,10.83
Bass,15.07,7.14,33.3,7.86
Tilapia,28.75,,26.23,7.62
Eel,21.99,6.23,18.01,3.62
Goldfish,11.41,7.64,9.08,5.46
Bass,20.98,,7.25,6.97
Goldfish,14.88,7.04,6.69,7.59
Clownfish,26.46,7.97,2.75,7.29
Catfish,23.13,6.75,95.55,3.78
Eel,20.23,8.0,20.37,4.68
Eel,23.93,7.27,26.31,5.41
Clownfish,26.33,7.98,3.8,5.07
Trout,14.77,7.38,7.71,7.03
Catfish,24.33,,28.52,6.58
Bass,15.48,6.11,18.26,6.37
Salmon,12.13,7.08,7.95,6.24
Clownfish,26.04,8.14,2.3,7.33
Catfish,27.42,6.07,,6.67
Bass,16.78,7.12,31.15,8.88
Tilapia,25.28,,22.63,6.02
Eel,12.37,6.25,20.9,3.24
Trout,11.7,,8.81,11.37
Catfish,21.43,7.1,47.63,5.0
Clownfish,24.88,,4.75,6.39
Clownfish,26.7,7.85,1.09,7.02
Catfish,24.21,6.81,47.54,3.39
Bass,17.83,6.84,48.83,8.76
Bass,21.55,6.32,28.32,4.09
Clownfish,26.6,8.31,2.34,6.77
Eel,14.79,7.85,16.68,
Bass,,6.52,8.01,5.02
Tilapia,28.72,7.37,47.15,4.72
Bass,17.68,7.36,33.76,9.05
Eel,12.16,6.85,29.05,4.47
Salmon,10.08,7.38,5.49,8.49
Bass,22.4,6.75,47.79,9.01
Goldfish,12.17,7.03,17.1,5.96
Salmon,10.15,6.81,5.88,6.21
Trout,15.61,6.77,3.2,11.68
Eel,11.33,7.08,28.69,5.04
Bass,19.3,6.97,15.58,9.75
Eel,8.71,6.36,26.23,6.26
Trout,17.32,6.66,8.49,10.9
Trout,12.17,7.49,9.35,7.16
Salmon,13.98,6.9,1.39,6.74
Trout,13.01,6.86,4.48,8.6
Catfish,21.24,6.31,9.65,3.91
Tilapia,25.69,7.39,43.92,5.58
Goldfish,18.86,8.38,8.74,6.84
Trout,,6.8,6.46,10.8
Bass,15.67,6.52,37.33,7.21
Tilapia,26.33,6.57,23.18,4.38
Bass,20.95,6.73,44.74,5.92
Bass,21.75,6.56,49.96,6.43
Trout,10.46,6.86,7.56,9.88
Salmon,14.96,6.69,0.32,6.53
Eel,17.08,,23.09,5.19
Tilapia,29.51,6.89,21.31,4.5
Bass,22.43,7.33,15.28,5.15
Bass,17.24,6.93,35.15,7.8
Trout,16.62,6.93,3.98,7.4
Tilapia,29.36,6.63,,
Clownfish,25.32,7.84,4.25,5.95
Salmon,13.51,6.96,7.26,8.58
Trout,17.47,6.64,1.76,11.07
Eel,5.54,7.57,29.9,5.47
Salmon,8.71,6.7,3.77,7.24
Goldfish,11.97,7.4,9.5,6.95
Trout,16.95,6.96,3.73,10.61
Tilapia,25.97,7.23,32.2,6.72
Clownfish,27.6,8.34,1.18,7.26
,14.04,6.77,14.87,4.5
Salmon,12.99,7.29,4.51,9.64
Catfish,22.53,6.36,21.4,4.13
Bass,17.01,6.72,20.18,5.54
Tilapia,26.2,6.94,43.2,7.01
,19.96,7.09,12.27,
Clownfish,26.46,8.0,2.52,7.73
Salmon,8.58,6.77,0.33,11.43
Tilapia,23.43,6.75,,7.05
Salmon,8.69,7.37,0.69,
Catfish,25.23,6.75,44.12,3.36
Clownfish,25.9,7.96,2.97,5.31
Goldfish,16.16,8.0,13.89,6.83
Bass,16.55,7.3,6.21,8.91
Bass,17.93,6.17,31.25,7.35
Eel,5.79,6.08,23.44,5.23
Bass,24.74,7.0,22.1,9.12
Tilapia,23.86,6.69,,6.94
Eel,21.2,7.42,26.25,3.93
Catfish,20.29,7.54,19.03,3.77
Bass,22.77,6.66,38.2,9.67
,22.86,7.98,12.2,4.8
Goldfish,23.2,8.37,5.16,6.34
Eel,14.61,6.54,14.75,4.98
Bass,19.5,6.33,37.36,5.88
Trout,11.85,7.1,8.28,7.48
,26.88,,25.9,3.84
Salmon,10.67,7.19,3.53,11.64
Tilapia,26.3,7.2,14.72,6.84
Eel,9.07,6.02,26.86,4.31
Bass,23.83,6.99,46.35,5.6
Clownfish,25.48,8.09,2.87,6.9
Bass,16.5,7.0,12.86,8.85
Eel,6.74,6.84,15.27,3.09
Clownfish,25.67,8.29,2.11,6.54
Bass,22.09,7.44,31.64,5.09
Bass,16.09,6.31,38.76,9.81
Trout,15.87,7.45,4.53,10.85
Tilapia,29.0,6.77,,7.05
Eel,12.1,7.19,12.32,5.79
,24.0,6.77,21.58,6.95
Eel,22.44,7.66,18.95,6.56
Eel,11.61,7.61,29.57,7.02
Eel,8.89,6.86,22.0,3.67
Catfish,24.12,,82.12,5.35
Trout,12.95,6.86,7.0,
Salmon,9.22,7.29,4.07,7.3
Trout,13.29,6.68,5.64,7.16
Eel,14.38,6.3,28.52,5.04
,14.91,6.54,11.52,5.26
Eel,8.48,7.75,15.46,6.46
Eel,8.62,7.93,13.26,4.58
Salmon,13.57,7.31,9.66,8.0
Bass,17.08,6.96,6.09,7.2
Tilapia,25.27,7.95,29.66,5.14
Goldfish,18.62,7.37,11.41,7.21
Tilapia,29.52,7.96,30.71,6.3
Trout,13.87,7.03,6.91,10.14
Salmon,13.97,7.06,0.39,8.7
Catfish,20.71,6.45,53.48,4.24
Trout,17.33,6.77,,10.58
Catfish,26.77,6.4,98.4,6.16
Bass,18.72,6.24,46.52,6.27
Goldfish,22.91,8.04,18.49,7.02
Bass,24.01,6.95,19.94,4.69
Eel,7.41,6.38,15.86,6.29
Bass,17.16,6.08,36.68,4.57
Goldfish,12.05,7.3,6.32,6.8
Clownfish,24.7,7.84,3.05,5.32
Tilapia,27.63,7.11,36.17,7.98
Trout,12.48,7.45,0.25,11.5
Salmon,8.31,7.25,5.75,9.23
Salmon,14.49,6.91,0.49,10.97
Bass,23.55,6.78,26.32,7.89
Clownfish,24.57,7.96,2.43,5.29
Salmon,12.16,7.25,9.8,11.66
Salmon,13.64,7.34,5.41,11.26
Bass,18.69,7.35,26.3,4.27
Trout,11.18,6.75,1.98,10.91
Clownfish,24.3,,4.32,5.25
Trout,,7.17,5.97,8.84
Goldfish,10.25,8.01,13.88,7.17
Trout,15.02,6.69,0.02,8.32
Goldfish,12.09,7.6,16.51,5.13
Goldfish,13.72,7.2,7.59,6.88
Goldfish,15.06,7.9,15.66,7.33
Eel,8.49,6.94,16.76,7.86
Catfish,20.33,6.38,77.94,6.71
Clownfish,26.12,7.88,4.8,6.35
Clownfish,26.98,7.86,3.77,5.6
Salmon,8.54,6.52,2.67,8.74
Tilapia,22.16,7.51,15.19,7.47
Catfish,27.83,7.58,20.45,
Tilapia,22.61,6.96,14.83,7.45
Bass,19.76,6.26,20.59,4.64
Trout,13.33,6.95,5.87,10.29
Goldfish,24.14,7.51,6.93,5.87
Clownfish,27.43,7.97,3.39,7.08
Bass,24.23,6.05,7.39,9.36
Goldfish,11.79,7.04,7.35,7.02
Clownfish,27.88,8.28,3.15,5.05
Salmon,14.72,6.8,4.86,6.61
Eel,24.39,6.47,10.04,3.46
Trout,11.53,6.98,6.21,10.46
Catfish,25.13,6.76,,3.45
Eel,6.75,,27.6,6.75
Trout,16.01,6.57,5.21,
Eel,,6.1,18.25,7.93
Trout,11.98,7.41,6.74,10.83
Catfish,24.3,7.49,90.78,4.25
Eel,6.22,6.24,17.61,3.85
Eel,5.43,6.24,24.15,4.12
Eel,20.75,7.23,21.09,3.71
Catfish,27.01,6.54,98.28,3.96
Goldfish,19.0,7.68,16.89,
Salmon,8.06,7.09,7.63,6.17
Eel,5.28,7.82,19.42,6.35
Clownfish,27.22,8.27,4.56,5.21
Salmon,11.2,6.74,9.82,8.49
Catfish,25.98,7.86,47.07,3.36
Salmon,12.99,7.08,4.16,10.5
Clownfish,24.21,8.0,0.51,6.18
Tilapia,29.14,6.56,33.84,4.43
Trout,13.41,7.44,0.91,9.65
Goldfish,10.73,7.13,11.92,5.55
Salmon,11.94,7.35,0.39,9.73
Bass,20.29,7.15,35.97,7.22
Clownfish,26.62,8.33,1.96,5.98
Salmon,13.26,7.32,6.17,6.57
Goldfish,22.93,7.32,,7.93
Salmon,9.27,6.79,5.67,6.76
Eel,8.46,7.99,19.52,4.03
Catfish,23.04,6.91,33.29,3.97
Tilapia,27.98,,30.29,4.9
Salmon,11.52,6.88,4.53,7.52
Goldfish,,8.47,15.19,5.65
Bass,21.61,7.05,,6.47
Tilapia,28.82,7.03,26.18,7.74
Catfish,21.33,6.48,49.17,3.97
Tilapia,29.54,7.55,35.77,6.06
Goldfish,22.33,8.36,7.92,6.43
Catfish,20.69,7.06,33.52,5.41
Salmon,10.94,6.74,5.31,8.33
Salmon,12.36,7.11,3.8,11.61
Eel,15.33,7.82,17.78,4.3
Tilapia,27.4,7.15,12.31,5.38
Catfish,25.25,7.44,55.45,3.79
Salmon,13.78,6.65,4.45,9.5
Eel,,7.32,26.88,6.36
Catfish,20.67,7.95,39.51,3.15
Eel,14.6,6.39,10.12,5.0
Eel,23.27,7.15,22.99,7.25
Eel,,7.52,29.18,7.24
Clownfish,24.31,7.89,3.2,6.95
Tilapia,22.21,7.22,12.38,5.57
Clownfish,26.92,7.87,,5.27
Clownfish,24.12,8.16,1.03,7.97
Clownfish,27.11,8.07,4.32,6.78
Bass,21.67,6.1,10.01,6.43
Trout,17.52,7.37,2.63,7.35
Tilapia,23.31,7.01,38.32,5.82
Salmon,11.5,6.68,2.99,
Salmon,11.71,6.87,5.04,10.96
Catfish,26.56,7.36,41.8,5.29
Salmon,11.14,6.68,8.85,
,7.25,6.68,12.04,6.73
Trout,16.2,7.1,4.63,7.06
Goldfish,17.18,8.5,16.98,7.26
,,6.06,22.13,5.18
Goldfish,24.57,7.87,10.05,6.93
Clownfish,27.35,8.36,,6.51
Clownfish,27.59,7.85,2.77,5.67
Salmon,13.88,6.7,2.99,11.15
Goldfish,23.54,7.15,6.12,5.81
Trout,15.02,7.48,2.58,9.77
Goldfish,16.76,7.27,6.9,6.32
Trout,11.53,6.77,1.14,9.1
Tilapia,25.27,7.81,23.61,4.07
Trout,13.52,7.27,2.73,8.12
Clownfish,27.47,7.97,0.89,6.54
Eel,11.47,7.14,18.12,7.23
Clownfish,27.35,8.07,0.12,7.95
Goldfish,21.32,7.6,16.59,6.51
Goldfish,14.53,7.78,14.06,5.32
Catfish,25.16,7.7,25.79,6.16
Goldfish,20.75,8.13,15.75,5.12
Tilapia,26.9,6.57,46.96,6.46
Catfish,21.34,6.78,63.98,5.2
Trout,14.48,6.68,2.36,8.87
Trout,12.61,7.33,5.42,10.89
Bass,21.48,6.85,33.14,5.35
Clownfish,24.8,8.15,1.48,5.76
Catfish,26.24,6.0,23.65,4.28
Catfish,27.97,6.5,80.41,4.61
Trout,15.99,6.75,4.46,8.56
Salmon,14.68,7.32,0.69,6.19
Clownfish,25.34,8.17,1.47,7.9
Goldfish,16.36,7.19,5.2,5.23
,26.62,7.6,60.61,5.09
Catfish,23.99,6.34,19.37,6.69
Salmon,12.33,6.86,3.71,10.83
Goldfish,21.13,,12.57,7.33
Trout,16.08,7.5,,9.69
Catfish,20.26,7.13,15.79,5.84
Salmon,9.37,7.42,0.19,9.76
Catfish,23.3,6.75,45.53,3.08
Trout,17.07,6.92,9.55,8.18
Clownfish,25.12,8.29,4.46,7.0
Eel,8.08,7.16,19.04,4.38
Tilapia,24.92,7.64,38.58,7.19
Tilapia,22.94,6.57,35.77,4.75
Eel,18.55,7.94,19.69,
Catfish,27.32,6.13,91.09,
Tilapia,22.21,7.48,25.22,5.5
Tilapia,24.41,,18.87,6.32
Goldfish,23.9,7.55,18.51,5.93
Salmon,8.35,6.98,8.26,9.75
,17.53,7.35,1.49,7.22
Bass,15.2,7.12,27.46,5.73
Clownfish,24.02,8.37,3.24,5.51
Catfish,22.45,7.19,15.84,6.02
Eel,22.71,6.8,22.46,6.02
Bass,18.9,6.36,39.69,9.8
Bass,,6.75,26.74,6.52
Catfish,26.78,6.81,32.46,6.27
Trout,16.91,6.82,,10.62
Catfish,25.34,7.7,94.66,3.35
Bass,21.52,6.41,5.82,4.68
Trout,12.82,7.4,5.93,8.39
Eel,14.47,7.74,23.45,6.81
Clownfish,26.83,8.17,3.77,5.55
,15.82,6.56,16.65,8.33
Trout,15.78,7.05,,11.46
Clownfish,24.24,8.33,0.72,6.04
Goldfish,16.16,8.36,9.86,5.71
Clownfish,24.38,,2.69,5.49
Clownfish,25.34,7.96,1.82,7.88
Salmon,14.57,7.07,1.63,6.1
Trout,15.32,7.0,0.43,10.06
Salmon,15.0,6.84,8.2,10.22
Tilapia,22.86,6.89,31.64,4.43
Salmon,,6.94,2.6,
Trout,14.99,7.29,0.76,8.52
Eel,,6.33,17.37,3.47
Clownfish,24.69,,2.67,6.77
Eel,23.4,6.7,11.48,7.98
Bass,20.27,6.75,20.95,9.36
Catfish,27.91,7.04,,4.01
Bass,22.64,7.49,35.51,6.36
Clownfish,25.43,,0.36,7.34
Catfish,25.78,7.35,35.28,4.72
Bass,21.4,6.51,39.28,7.12
Trout,12.18,7.27,8.2,10.63
Goldfish,23.41,8.05,12.05,5.04
Eel,14.46,7.04,23.9,6.12
Goldfish,16.33,8.04,16.27,6.76
Eel,19.54,6.83,15.59,3.76
Eel,14.36,7.42,28.32,7.17
Tilapia,28.82,6.86,10.52,4.81
Catfish,22.97,6.55,80.46,4.16
Catfish,23.12,6.76,68.19,5.89
Trout,16.17,6.55,9.85,8.33
Goldfish,21.49,,18.15,7.89
Trout,,7.03,3.13,10.85
Clownfish,27.16,7.81,4.68,6.08
Catfish,26.42,6.52,71.0,6.12
Clownfish,25.96,7.85,4.31,6.25
Eel,16.12,7.92,28.92,6.9
Salmon,8.42,6.71,,9.92
Clownfish,24.25,7.92,1.01,5.74
Tilapia,28.49,6.88,20.85,
Salmon,8.97,7.05,8.27,9.46
Eel,15.13,6.11,10.16,7.47
Trout,17.07,7.29,1.43,9.25
Goldfish,,8.1,7.2,
Salmon,14.28,7.41,6.3,8.41
Salmon,9.31,6.88,2.76,9.61
Goldfish,17.83,7.91,13.68,5.73
Salmon,9.4,7.31,3.14,7.14
Trout,16.44,7.34,3.29,10.77
Tilapia,28.1,7.25,29.56,6.47
Bass,15.01,6.76,36.79,6.04
Clownfish,26.97,7.97,3.58,
Tilapia,24.95,,42.58,6.71
Eel,19.32,6.87,17.05,6.65
Clownfish,27.79,8.26,1.28,5.79
Tilapia,27.84,7.57,25.79,4.71
Eel,11.43,6.21,18.8,4.07
Salmon,9.21,6.94,1.56,8.76
Bass,22.65,6.95,26.85,6.43
Trout,11.17,6.61,4.02,10.17
Salmon,9.3,7.25,8.74,9.87
Salmon,9.85,7.47,2.47,9.04
Salmon,,7.32,9.01,11.89
Bass,18.4,6.6,46.81,4.73
Goldfish,19.08,8.09,13.01,6.28
Eel,9.59,6.76,14.6,4.53
Bass,16.38,6.68,33.21,7.67
Clownfish,26.23,8.24,2.34,6.06
Tilapia,25.85,6.57,44.5,6.53
Salmon,12.19,6.73,1.6,7.36
Trout,10.69,7.38,4.19,8.62
Catfish,26.79,,9.63,4.7
Tilapia,22.78,6.91,32.58,4.64
Tilapia,,6.84,25.85,4.82
Clownfish,27.36,8.0,1.72,7.4
Eel,14.87,6.56,19.15,6.23
Eel,16.82,6.04,20.42,6.11
Eel,14.03,6.23,24.2,6.06
Clownfish,25.26,,4.36,5.83
Eel,20.93,6.39,,7.46
Salmon,9.43,6.63,,9.93
Clownfish,24.15,7.99,0.48,5.19
Goldfish,11.11,7.5,18.45,7.38
Salmon,10.74,7.05,9.95,11.01
Tilapia,25.61,7.82,12.19,4.13
Salmon,,6.92,3.84,8.14
Goldfish,16.4,8.21,11.89,6.75
Eel,8.93,6.06,19.05,4.68
Catfish,27.99,6.71,12.62,
Trout,10.64,6.82,5.01,7.12
Tilapia,28.17,7.12,32.18,4.96
Trout,14.82,7.09,5.06,8.05
Eel,20.95,6.22,21.54,4.08
Eel,12.91,6.85,12.23,6.61
Bass,,6.69,8.42,7.25
Bass,16.88,6.59,,8.92
Salmon,14.53,7.41,4.43,9.23
Catfish,20.58,7.29,80.95,4.6
Trout,17.05,6.7,1.73,10.82
Eel,14.95,6.86,16.83,4.93
Catfish,23.01,6.03,98.25,3.01
Tilapia,23.52,6.84,36.37,6.05
Salmon,13.04,6.94,7.52,11.5
Tilapia,,6.71,18.49,6.57
Salmon,10.58,7.48,6.69,9.45
Eel,22.75,6.3,21.28,
Clownfish,26.6,8.36,4.01,5.81
Salmon,13.0,7.43,,10.39
Bass,16.08,6.69,5.96,4.05
Catfish,22.54,6.4,30.46,6.76
,23.48,6.94,91.42,6.29
Bass,15.98,6.96,18.22,7.91
Clownfish,27.16,7.91,4.87,6.12
Catfish,25.63,6.38,26.32,5.33
Trout,15.06,6.72,4.96,11.1
,15.77,7.17,42.73,5.68
Goldfish,19.85,7.27,8.41,7.54
Tilapia,23.54,7.91,48.93,7.08
Goldfish,21.01,7.6,5.71,6.07
Clownfish,25.6,8.09,0.88,5.84
Clownfish,27.36,8.22,2.3,6.14
Clownfish,26.12,7.9,1.1,7.2
,26.13,7.48,42.31,7.23
Catfish,24.85,6.59,31.15,5.6
Goldfish,19.54,7.41,19.71,7.88
Bass,18.96,6.0,42.49,4.91
,27.43,8.14,4.04,8.0
Goldfish,23.95,7.68,14.31,5.99
Trout,14.55,6.7,6.22,11.43
Salmon,14.17,7.25,7.19,11.23
Goldfish,18.15,8.13,6.88,7.52
Eel,19.18,6.88,10.9,3.18
Catfish,20.65,6.45,,6.23
Tilapia,29.74,6.75,48.62,5.29
Bass,19.94,6.66,40.13,5.06
Goldfish,10.55,7.23,16.38,6.84
Tilapia,24.39,6.97,22.64,
Trout,13.12,6.83,3.52,9.54
Tilapia,,7.23,15.07,6.29
Eel,20.7,6.15,24.95,4.92
Bass,22.8,7.47,41.45,5.82
Tilapia,28.2,7.92,10.2,6.58
Catfish,,7.19,53.01,5.87
Clownfish,25.28,7.98,0.37,6.65
Goldfish,20.48,8.08,7.75,7.82
Clownfish,26.06,8.05,2.51,7.42
Clownfish,24.3,8.14,3.87,7.33
Clownfish,26.65,8.36,0.47,5.18
Clownfish,26.42,8.37,3.6,6.89
Bass,20.62,7.0,42.21,8.2
Eel,13.35,7.83,11.21,7.41
Salmon,14.68,7.34,3.6,9.53
Eel,6.46,6.95,18.72,4.29
,21.56,7.36,22.09,
Catfish,24.4,7.49,28.91,5.01
Eel,11.5,7.02,10.06,7.35
Salmon,10.4,7.37,0.46,8.35
Bass,22.84,6.74,17.18,4.74
Bass,23.44,6.36,10.03,7.33
Tilapia,22.06,7.84,20.59,7.46
Clownfish,24.5,7.95,4.77,7.36
Tilapia,28.74,7.21,49.32,7.03
Clownfish,26.74,8.01,1.75,6.8
Trout,14.47,6.66,3.0,9.52
Catfish,21.51,7.0,63.04,3.52
Salmon,8.43,6.58,6.2,8.35
Bass,24.76,6.8,9.31,5.11
Salmon,11.61,6.6,7.42,8.6
Trout,15.89,7.1,6.71,9.42
Trout,14.25,6.8,2.79,8.39
Eel,11.5,7.22,15.57,7.13
Trout,,7.31,6.04,8.61
Trout,16.34,7.13,5.97,7.49
Bass,19.61,7.26,,7.54
Bass,22.66,6.38,32.78,6.6
Salmon,14.51,7.45,0.63,11.96
Clownfish,26.39,8.33,0.9,6.01
Bass,22.51,6.67,,
Salmon,12.95,6.97,3.51,9.85
Eel,22.21,6.7,20.51,4.21
Tilapia,23.26,7.21,,4.69
Bass,15.75,,40.31,6.77
Trout,12.86,6.92,5.11,8.28
Salmon,13.29,6.55,4.96,6.82
